sh-5.3$ python dcgan.py
[0/25][0/321] lossD=1.5560 lossG=4.2763
[0/25][50/321] lossD=2.8617 lossG=17.6410
[0/25][100/321] lossD=0.5482 lossG=5.2522
[0/25][150/321] lossD=0.7083 lossG=3.0998
[0/25][200/321] lossD=0.5141 lossG=6.6226
[0/25][250/321] lossD=0.4433 lossG=4.8178
[0/25][300/321] lossD=0.1708 lossG=4.6358
[1/25][0/321] lossD=1.0786 lossG=3.6931
[1/25][50/321] lossD=0.6173 lossG=3.8860
[1/25][100/321] lossD=0.6261 lossG=3.3437
[1/25][150/321] lossD=0.2503 lossG=5.3236
[1/25][200/321] lossD=0.5786 lossG=8.1027
[1/25][250/321] lossD=0.2734 lossG=4.8087
[1/25][300/321] lossD=1.5403 lossG=8.2661
[2/25][0/321] lossD=0.2808 lossG=5.6037
[2/25][50/321] lossD=0.3075 lossG=6.4763
[2/25][100/321] lossD=1.4794 lossG=17.0725
[2/25][150/321] lossD=0.5265 lossG=7.0888
[2/25][200/321] lossD=0.1677 lossG=5.2328
[2/25][250/321] lossD=0.1392 lossG=4.7942
[2/25][300/321] lossD=0.6154 lossG=6.9648
[3/25][0/321] lossD=0.6226 lossG=4.3783
[3/25][50/321] lossD=0.4287 lossG=4.6189
[3/25][100/321] lossD=0.3414 lossG=4.2794
[3/25][150/321] lossD=0.5894 lossG=2.8578
[3/25][200/321] lossD=0.1644 lossG=3.1619
[3/25][250/321] lossD=0.7834 lossG=5.2080
[3/25][300/321] lossD=0.6436 lossG=4.7155
[4/25][0/321] lossD=0.3828 lossG=4.3840
[4/25][50/321] lossD=0.2639 lossG=6.5758
[4/25][100/321] lossD=1.5836 lossG=3.3497
[4/25][150/321] lossD=0.4981 lossG=2.5134
[4/25][200/321] lossD=0.4706 lossG=4.6167
[4/25][250/321] lossD=0.5713 lossG=3.8940
[4/25][300/321] lossD=1.0522 lossG=8.1322
[5/25][0/321] lossD=0.3507 lossG=3.9440
[5/25][50/321] lossD=0.5343 lossG=1.4288
[5/25][100/321] lossD=0.5042 lossG=3.2320
